group,variable,value
A,v2,21
A,v3,30
A,v1,38
A,v4,38
A,v7,56
A,v5,20
A,v9,29
A,v10,26
A,v6,31
B,v1,30
B,v3,35
A,v8,33
B,v4,23
B,v5,29
B,v6,32
B,v8,28
B,v2,26
B,v10,33
C,v1,50
C,v2,26
B,v9,30
B,v7,24
C,v5,19
C,v6,40
C,v3,33
C,v8,23
C,v7,21
C,v10,44
C,v4,22
D,v2,35
D,v3,33
C,v9,27
D,v5,22
D,v4,36
D,v7,32
D,v6,50
D,v9,25
D,v8,42
D,v10,32
E,v3,24
E,v4,30
E,v1,26
D,v1,21
E,v2,32
E,v5,16
E,v6,30
E,v7,18
E,v10,30
E,v8,23
E,v9,28
F,v1,24
F,v3,29
F,v2,30
F,v4,29
F,v7,28
F,v5,30
F,v6,28
F,v10,25
F,v9,17
F,v8,36
G,v1,29
G,v4,29
G,v3,3
G,v5,22
G,v7,25
G,v2,24
G,v9,62
G,v6,32
G,v10,58
H,v2,50
H,v4,29
H,v3,32
H,v5,22
G,v8,24
H,v6,27
H,v7,30
H,v9,31
H,v10,35
H,v8,27
I,v2,74
H,v1,50
I,v1,28
I,v4,28
I,v6,38
I,v3,52
I,v7,23
I,v10,28
I,v5,32
I,v8,64
I,v9,36
J,v1,25
J,v2,22
J,v4,21
J,v5,21
J,v6,44
J,v7,37
J,v8,27
J,v3,23
J,v10,19
J,v9,25
K,v2,17
K,v1,32
K,v3,28
K,v4,22
K,v5,20
K,v6,33
K,v8,36
K,v9,37
K,v10,30
K,v7,29
L,v2,26
L,v1,25
L,v4,25
L,v5,39
L,v8,23
L,v3,54
L,v6,22
L,v9,26
L,v7,14
L,v10,28
M,v2,26
M,v3,28
M,v1,10
M,v5,51
M,v4,34
M,v6,28
M,v8,22
M,v7,26
M,v10,34
N,v1,20
N,v2,23
N,v3,24
M,v9,39
N,v5,38
N,v7,26
N,v4,32
N,v9,36
N,v6,45
N,v10,26
N,v8,52
O,v1,38
O,v2,22
O,v3,39
O,v4,29
O,v5,30
O,v7,68
O,v8,22
O,v6,44
O,v10,35
P,v1,26
P,v2,18
O,v9,24
P,v4,37
P,v3,35
P,v7,34
P,v8,67
P,v6,17
P,v9,22
P,v10,67
R,v2,46
R,v1,29
R,v4,52
P,v5,38
R,v5,62
R,v3,29
R,v8,40
R,v6,26
R,v10,30
R,v9,36
undefined,v1,30
R,v7,32
undefined,v2,27
undefined,v4,28
undefined,v3,22
undefined,v6,39
undefined,v7,44
undefined,v5,22
undefined,v9,29
undefined,v10,26
undefined,v8,30
undefined,v1,20
undefined,v3,44
undefined,v2,41
undefined,v5,30
undefined,v4,28
undefined,v6,24
undefined,v8,15
undefined,v7,43
undefined,v9,32
undefined,v10,30
undefined,v3,40
undefined,v2,28
undefined,v1,19
undefined,v4,37
undefined,v6,32
undefined,v5,24
undefined,v10,16
undefined,v7,26
undefined,v1,25
undefined,v8,50
undefined,v9,56
undefined,v3,35
undefined,v4,25
undefined,v2,27
undefined,v6,26
undefined,v7,34
undefined,v8,42
undefined,v9,43
undefined,v10,34
undefined,v5,36
undefined,v2,32
undefined,v4,28
undefined,v3,75
undefined,v5,26
undefined,v6,32
undefined,v1,37
undefined,v8,33
undefined,v7,25
undefined,v10,26
undefined,v1,30
undefined,v2,23
undefined,v3,38
undefined,v9,25
undefined,v6,31
undefined,v4,27
undefined,v8,22
undefined,v7,76
undefined,v5,26
undefined,v10,42
undefined,v9,12
undefined,v1,24
undefined,v2,34
undefined,v3,30
undefined,v7,36
undefined,v5,47
undefined,v4,19
undefined,v6,32
undefined,v9,34
undefined,v10,27
undefined,v8,26
undefined,v1,30
undefined,v2,20
undefined,v4,40
undefined,v5,22
undefined,v6,27
undefined,v7,32
undefined,v8,33
undefined,v3,28
undefined,v10,30
undefined,v9,29
undefined,v3,23
undefined,v1,25
undefined,v2,23
undefined,v5,30
undefined,v4,23
undefined,v6,22
undefined,v9,32
undefined,v10,25
undefined,v7,19
