group,variable,value
A,v1,2
A,v3,0
A,v2,0
A,v6,3
A,v4,1
A,v7,1
A,v10,4
A,v9,0
A,v5,2
B,v3,4
B,v4,1
A,v8,0
B,v2,0
B,v6,0
B,v7,0
B,v5,1
B,v1,2
B,v10,0
B,v8,2
C,v3,2
B,v9,1
C,v1,1
C,v2,0
C,v6,1
C,v4,0
C,v8,0
C,v5,1
C,v10,0
D,v2,1
C,v9,2
D,v1,1
D,v4,4
D,v3,3
D,v5,1
D,v7,0
D,v8,0
D,v6,1
D,v10,3
C,v7,0
D,v9,2
E,v3,5
E,v1,0
E,v5,0
E,v4,2
E,v6,0
E,v9,0
E,v7,0
E,v10,0
E,v2,2
F,v1,1
F,v4,1
F,v3,0
F,v5,0
F,v6,4
F,v7,2
F,v8,3
F,v9,3
E,v8,0
F,v10,4
G,v2,1
G,v1,1
G,v4,0
G,v3,1
F,v2,1
G,v8,2
G,v6,1
G,v7,3
G,v9,5
G,v10,3
H,v2,4
H,v1,2
G,v5,0
H,v5,1
H,v3,4
H,v4,2
H,v8,0
H,v7,0
H,v10,0
I,v1,3
I,v2,2
I,v3,1
I,v4,1
H,v6,0
H,v9,0
I,v5,1
I,v6,0
I,v8,0
I,v9,2
I,v10,0
J,v2,0
I,v7,1
J,v1,2
J,v3,0
J,v4,1
J,v5,1
J,v7,0
J,v8,1
J,v9,0
J,v10,4
K,v2,3
K,v1,1
K,v3,1
K,v4,0
K,v5,0
J,v6,2
K,v8,0
K,v6,0
K,v7,0
K,v10,2
L,v2,0
L,v3,0
L,v1,0
L,v4,1
K,v9,0
L,v5,0
L,v6,0
L,v8,0
L,v9,3
L,v10,0
M,v2,1
M,v1,0
M,v3,2
L,v7,2
M,v4,0
M,v8,1
M,v6,2
M,v9,2
M,v7,6
M,v10,2
M,v5,3
N,v2,1
N,v1,1
N,v4,2
N,v3,1
N,v7,4
N,v6,4
N,v5,1
N,v8,2
N,v9,3
N,v10,3
O,v2,5
O,v1,0
O,v4,0
O,v5,3
O,v3,0
O,v8,0
O,v7,3
O,v10,0
P,v1,0
O,v9,0
O,v6,1
P,v2,1
P,v4,0
P,v5,0
P,v6,6
P,v3,1
P,v8,3
P,v9,0
P,v10,1
R,v1,2
P,v7,4
R,v2,5
R,v4,3
R,v5,5
R,v6,4
R,v8,3
R,v7,3
R,v9,2
R,v10,2
undefined,v2,1
R,v3,3
undefined,v1,0
undefined,v3,0
undefined,v5,0
undefined,v4,0
undefined,v8,1
undefined,v7,1
undefined,v6,1
undefined,v10,0
undefined,v1,3
undefined,v2,1
undefined,v3,0
undefined,v9,0
undefined,v4,0
undefined,v6,0
undefined,v5,1
undefined,v8,0
undefined,v7,1
undefined,v10,0
undefined,v9,0
undefined,v2,1
undefined,v3,0
undefined,v1,0
undefined,v4,0
undefined,v5,1
undefined,v6,0
undefined,v7,1
undefined,v8,0
undefined,v10,0
undefined,v9,0
undefined,v2,0
undefined,v1,0
undefined,v3,0
undefined,v5,0
undefined,v4,1
undefined,v7,3
undefined,v6,2
undefined,v8,0
undefined,v9,0
undefined,v10,4
undefined,v3,5
undefined,v2,7
undefined,v5,0
undefined,v4,3
undefined,v6,0
undefined,v1,6
undefined,v7,2
undefined,v9,1
undefined,v1,0
undefined,v8,1
undefined,v10,1
undefined,v2,5
undefined,v4,2
undefined,v5,8
undefined,v6,2
undefined,v8,4
undefined,v7,3
undefined,v10,1
undefined,v1,1
undefined,v9,2
undefined,v3,1
undefined,v3,4
undefined,v4,2
undefined,v6,3
undefined,v2,0
undefined,v5,7
undefined,v7,4
undefined,v9,1
undefined,v10,6
undefined,v1,5
undefined,v2,5
undefined,v3,3
undefined,v8,3
undefined,v5,1
undefined,v6,0
undefined,v4,2
undefined,v8,2
undefined,v7,2
undefined,v10,3
undefined,v9,2
undefined,v3,0
undefined,v1,0
undefined,v4,2
undefined,v2,1
undefined,v7,0
undefined,v8,0
undefined,v6,1
undefined,v10,1
undefined,v9,1
undefined,v1,2
undefined,v5,0
undefined,v3,0
undefined,v5,0
undefined,v2,0
undefined,v7,0
undefined,v4,0
undefined,v8,0
undefined,v10,1
undefined,v9,0
undefined,v2,1
undefined,v1,0
undefined,v3,0
undefined,v5,1
undefined,v4,0
undefined,v6,0
undefined,v6,0
undefined,v9,1
undefined,v7,4
undefined,v10,1
undefined,v3,1
undefined,v1,0
undefined,v8,0
undefined,v2,1
undefined,v5,1
undefined,v4,0
undefined,v7,0
undefined,v6,2
undefined,v8,0
undefined,v9,0
undefined,v10,0
undefined,v2,0
undefined,v1,1
undefined,v3,1
undefined,v4,1
undefined,v5,0
undefined,v6,0
undefined,v7,0
undefined,v9,0
undefined,v10,1
undefined,v2,2
undefined,v1,1
undefined,v3,1
undefined,v8,0
undefined,v5,1
undefined,v7,0
undefined,v6,0
undefined,v9,1
undefined,v10,0
undefined,v8,1
undefined,v2,2
undefined,v4,0
undefined,v3,0
undefined,v1,4
undefined,v5,0
undefined,v4,2
undefined,v8,0
undefined,v7,0
undefined,v9,0
undefined,v6,0
undefined,v10,1
undefined,v2,5
undefined,v4,4
undefined,v3,5
undefined,v6,3
undefined,v1,5
undefined,v5,7
undefined,v8,3
undefined,v10,0
undefined,v1,0
undefined,v7,7
undefined,v9,1
undefined,v4,2
undefined,v3,1
undefined,v2,0
undefined,v5,1
undefined,v7,1
undefined,v6,0
undefined,v9,3
undefined,v10,0
undefined,v8,0
undefined,v1,2
undefined,v3,0
undefined,v4,1
undefined,v6,3
undefined,v2,1
undefined,v8,1
undefined,v5,0
undefined,v9,0
undefined,v10,0
undefined,v1,0
undefined,v3,0
undefined,v2,1
undefined,v5,1
undefined,v4,0
undefined,v7,0
undefined,v7,4
undefined,v8,0
undefined,v9,0
undefined,v10,0
undefined,v2,1
undefined,v6,2
undefined,v4,1
undefined,v1,3
undefined,v5,0
undefined,v3,0
undefined,v6,0
undefined,v7,
