group,variable,value
A,v1,25
A,v2,28
A,v3,22
A,v5,23
A,v4,25
A,v7,22
A,v9,24
A,v10,22
A,v6,35
B,v2,24
B,v3,26
A,v8,21
B,v5,38
B,v4,25
B,v7,28
B,v8,26
B,v6,20
B,v10,18
C,v1,15
C,v2,19
B,v1,24
C,v4,25
C,v3,21
C,v5,27
C,v7,39
C,v8,21
C,v6,26
B,v9,27
C,v10,10
C,v9,26
D,v4,33
D,v3,30
D,v1,20
D,v5,46
D,v7,48
D,v8,34
D,v10,23
D,v2,33
E,v1,34
E,v2,35
D,v9,30
E,v3,19
E,v4,20
D,v6,55
E,v7,32
E,v8,19
E,v6,16
F,v1,26
E,v10,41
E,v5,23
F,v3,18
E,v9,19
F,v2,50
F,v6,41
F,v4,25
F,v8,22
F,v9,31
F,v10,22
F,v5,37
G,v2,26
G,v1,19
G,v4,29
G,v3,19
F,v7,35
G,v6,23
G,v9,23
G,v10,30
G,v5,45
G,v8,26
H,v1,22
H,v3,22
H,v4,37
H,v5,21
G,v7,16
H,v7,17
H,v8,21
H,v2,26
H,v10,18
I,v1,30
H,v6,24
H,v9,23
I,v4,22
I,v5,21
I,v2,19
I,v3,39
I,v8,25
I,v7,24
I,v10,24
I,v9,43
I,v6,22
J,v1,13
J,v2,35
J,v5,23
J,v4,18
J,v3,59
J,v6,39
J,v9,19
J,v7,47
J,v8,43
J,v10,24
K,v2,
K,v1,21
