group,variable,value
A,v1,3
A,v2,9
A,v3,1
A,v5,0
A,v4,0
A,v8,1
A,v6,0
A,v10,2
B,v1,2
B,v2,3
A,v7,1
B,v3,4
B,v5,0
B,v6,1
A,v9,2
B,v4,8
B,v9,0
B,v10,1
B,v8,0
C,v2,1
C,v3,0
C,v1,1
C,v5,1
C,v6,0
B,v7,0
C,v7,1
C,v8,0
C,v10,4
D,v1,2
D,v2,0
C,v4,0
D,v3,0
D,v5,0
D,v6,0
D,v4,1
C,v9,0
D,v9,4
D,v10,2
D,v8,2
E,v1,2
D,v7,1
E,v4,2
E,v5,0
E,v6,1
E,v3,2
E,v2,3
E,v10,4
E,v8,1
F,v1,2
F,v2,0
F,v3,2
E,v7,2
F,v5,1
F,v6,2
E,v9,1
F,v4,3
F,v8,0
F,v10,1
F,v7,1
G,v2,0
G,v3,0
F,v9,0
G,v1,5
G,v6,2
G,v8,1
G,v4,2
G,v5,0
G,v10,0
H,v1,3
G,v7,1
G,v9,3
H,v4,0
H,v5,2
H,v2,2
H,v3,3
H,v7,1
H,v6,0
H,v10,0
I,v1,0
H,v8,0
I,v2,0
I,v4,1
H,v9,0
I,v3,0
I,v6,5
I,v5,3
I,v7,8
I,v8,2
I,v9,4
I,v10,
