group,variable,value
A,v1,53
A,v2,21
A,v3,23
A,v5,22
A,v4,39
A,v6,33
A,v7,28
B,v1,41
A,v10,18
A,v8,18
A,v9,25
B,v5,16
B,v6,27
B,v7,33
B,v2,51
B,v8,18
B,v10,23
B,v3,23
B,v4,15
C,v2,73
B,v9,31
C,v1,32
C,v4,15
C,v6,46
C,v5,20
C,v7,21
C,v8,26
C,v10,28
D,v1,17
D,v3,25
C,v9,23
C,v3,24
D,v5,27
D,v6,26
D,v4,32
D,v8,20
D,v9,29
D,v10,51
D,v2,49
E,v1,32
E,v3,51
E,v2,31
E,v5,25
D,v7,36
E,v6,16
E,v7,31
E,v9,35
E,v10,44
E,v8,34
E,v4,40
F,v1,25
F,v2,29
F,v3,44
F,v6,36
F,v4,40
F,v5,35
F,v9,38
F,v10,30
F,v8,35
F,v7,30
G,v3,51
G,v4,39
G,v2,25
G,v5,18
G,v7,28
G,v9,37
G,v8,40
G,v10,39
H,v1,41
G,v1,46
H,v3,30
H,v4,50
H,v5,35
G,v6,48
H,v6,37
H,v8,26
H,v9,29
H,v10,39
I,v1,24
H,v7,24
H,v2,30
I,v4,25
I,v2,24
I,v6,22
I,v5,21
I,v8,36
I,v9,36
I,v10,31
I,v3,31
I,v7,32
J,v1,37
J,v2,27
J,v3,32
J,v4,26
J,v6,38
J,v5,31
J,v8,43
K,v1,21
J,v10,48
K,v2,27
K,v3,23
J,v7,24
K,v4,21
K,v5,21
K,v6,26
K,v7,24
J,v9,20
K,v9,68
K,v10,30
L,v2,34
K,v8,41
L,v3,26
L,v4,54
L,v1,28
L,v6,36
L,v7,37
L,v8,33
L,v5,33
L,v10,19
M,v1,31
M,v2,22
L,v9,27
M,v4,21
M,v5,29
M,v3,26
M,v7,26
M,v6,24
M,v8,24
M,v9,83
M,v10,18
N,v3,24
N,v5,42
N,v1,35
N,v4,28
N,v6,26
N,v7,24
N,v2,24
N,v9,23
N,v10,39
O,v2,22
N,v8,24
O,v4,24
O,v1,71
O,v5,50
O,v3,25
O,v6,30
O,v7,44
O,v10,34
O,v8,26
P,v2,28
P,v1,26
P,v3,22
P,v4,24
P,v5,21
P,v6,37
P,v8,52
O,v9,24
P,v9,104
P,v10,20
P,v7,32
R,v2,37
R,v1,22
R,v3,36
R,v4,59
R,v5,
