group,variable,value
A,v1,0
A,v2,3
A,v3,1
A,v4,2
A,v6,2
A,v7,3
A,v9,0
A,v5,4
A,v10,4
B,v2,1
A,v8,1
B,v4,5
B,v6,5
B,v5,0
B,v3,4
B,v7,6
B,v8,8
B,v10,4
C,v1,8
C,v2,5
B,v1,0
C,v3,3
C,v5,4
C,v6,1
C,v4,1
C,v7,1
C,v9,0
C,v10,0
C,v8,0
D,v1,0
D,v2,3
B,v9,3
D,v3,1
D,v6,2
D,v4,1
D,v7,2
D,v9,3
D,v10,3
D,v5,0
E,v1,2
D,v8,0
E,v3,4
E,v5,1
E,v4,1
E,v6,0
E,v8,0
E,v9,1
E,v10,1
E,v2,5
F,v1,1
F,v4,1
F,v2,0
F,v3,0
F,v6,4
F,v5,1
F,v7,1
F,v9,0
F,v10,0
F,v8,2
G,v2,4
E,v7,4
G,v5,0
G,v3,2
G,v4,4
G,v6,3
G,v8,0
G,v9,0
G,v10,1
H,v1,0
H,v2,3
G,v1,1
H,v4,2
H,v5,6
H,v6,2
H,v3,6
H,v7,3
H,v9,2
H,v10,3
I,v1,0
I,v2,5
H,v8,2
G,v7,0
I,v3,8
I,v5,7
I,v4,0
I,v8,1
I,v7,3
I,v10,1
I,v9,2
I,v6,6
J,v2,0
J,v3,0
J,v4,1
J,v1,0
J,v7,4
J,v6,0
J,v5,0
J,v9,0
J,v10,1
K,v1,0
J,v8,2
K,v4,0
K,v3,0
K,v5,2
K,v7,2
K,v8,2
K,v2,1
K,v10,3
K,v9,1
L,v2,6
K,v6,1
L,v1,6
L,v4,8
L,v3,4
L,v7,1
L,v6,2
L,v9,4
L,v5,1
L,v10,2
M,v1,2
L,v8,3
M,v4,4
M,v5,3
M,v3,2
M,v2,1
M,v7,5
M,v9,8
M,v8,9
M,v10,5
N,v2,1
N,v1,4
N,v3,0
N,v5,7
N,v4,0
N,v6,4
N,v7,0
N,v8,1
M,v6,7
N,v10,0
O,v1,0
O,v2,0
O,v4,0
O,v3,2
N,v9,1
O,v5,0
O,v7,2
O,v8,4
O,v6,4
O,v10,2
P,v2,2
P,v1,0
P,v3,0
P,v4,1
P,v6,10
O,v9,2
P,v8,1
P,v5,0
P,v10,1
R,v1,8
P,v9,9
R,v2,5
P,v7,8
R,v5,9
R,v3,2
R,v6,6
R,v4,5
R,v8,2
R,v7,5
R,v10,1
R,v9,3
undefined,v2,3
undefined,v1,8
undefined,v4,3
undefined,v5,5
undefined,v6,7
undefined,v8,4
undefined,v3,7
undefined,v7,6
undefined,v9,2
undefined,v10,
