group,variable,value
A,v3,28
A,v2,27
A,v5,26
A,v1,22
A,v6,31
A,v7,30
A,v4,22
A,v10,48
A,v8,25
B,v2,25
B,v3,38
A,v9,19
B,v4,32
B,v6,24
B,v5,36
B,v8,39
B,v9,28
B,v10,36
B,v1,26
C,v2,21
C,v1,23
B,v7,30
C,v5,34
C,v4,40
C,v3,37
C,v7,37
C,v9,15
C,v10,23
C,v8,26
D,v2,53
D,v3,29
D,v1,16
C,v6,30
D,v6,23
D,v7,33
D,v5,32
D,v8,39
D,v10,43
D,v9,25
E,v2,29
E,v3,23
E,v4,38
D,v4,25
E,v1,30
E,v7,24
E,v6,25
E,v9,27
E,v10,28
E,v5,26
F,v1,20
F,v3,21
F,v4,21
E,v8,21
F,v5,36
F,v7,19
F,v9,37
F,v6,25
F,v10,30
F,v8,28
G,v2,22
G,v3,35
G,v1,50
F,v2,26
G,v4,29
G,v5,32
G,v7,32
G,v8,26
G,v10,19
H,v1,52
G,v6,31
H,v2,47
G,v9,23
H,v5,31
H,v6,16
H,v4,30
H,v8,24
H,v3,54
H,v10,24
H,v9,25
I,v1,25
I,v2,33
H,v7,26
I,v3,22
I,v6,24
I,v5,36
I,v4,52
I,v10,20
I,v9,36
I,v8,50
I,v7,38
J,v2,44
J,v1,22
J,v5,46
J,v3,31
J,v4,40
J,v6,22
J,v9,24
J,v7,30
J,v10,21
K,v1,27
K,v2,21
J,v8,32
K,v6,24
K,v3,24
K,v5,19
K,v4,28
K,v8,25
K,v7,18
K,v9,34
K,v10,18
L,v2,18
L,v1,26
L,v3,35
L,v4,27
L,v5,
