group,variable,value
A,v1,3
A,v4,1
A,v5,1
A,v2,0
A,v3,1
A,v7,6
A,v8,7
A,v10,10
B,v1,5
A,v6,1
A,v9,7
B,v4,2
B,v5,2
B,v3,0
B,v2,3
B,v8,1
B,v7,2
B,v10,6
B,v9,1
C,v3,2
C,v2,0
C,v4,4
B,v6,2
C,v1,9
C,v7,3
C,v9,4
C,v6,6
C,v10,2
C,v5,4
D,v2,3
D,v3,3
D,v4,1
D,v5,0
D,v6,7
C,v8,4
D,v8,4
D,v9,1
D,v10,4
D,v1,2
E,v1,1
D,v7,2
E,v2,0
E,v3,3
E,v5,2
E,v4,1
E,v6,3
E,v7,2
F,v1,1
F,v2,1
E,v10,2
E,v8,0
E,v9,0
F,v4,1
F,v6,2
F,v3,1
F,v7,2
F,v8,1
F,v10,3
F,v5,2
G,v2,3
G,v4,9
G,v1,1
G,v3,3
G,v5,3
G,v8,1
G,v6,2
G,v9,0
G,v10,2
G,v7,3
H,v2,4
H,v3,4
H,v4,2
H,v5,3
F,v9,1
H,v6,5
H,v1,1
H,v9,6
H,v10,2
I,v1,1
I,v2,1
H,v8,1
H,v7,1
I,v3,7
I,v5,2
I,v4,1
I,v8,4
I,v6,1
I,v7,4
I,v10,0
J,v1,0
J,v2,5
I,v9,5
J,v5,2
J,v3,4
J,v6,2
J,v7,2
J,v9,9
K,v1,4
J,v8,3
J,v10,4
K,v2,6
J,v4,2
K,v4,3
K,v6,1
K,v5,1
K,v9,2
K,v3,6
K,v10,0
K,v7,0
K,v8,1
L,v1,2
L,v3,
L,v2,5
