group,variable,value
A,v3,31
A,v5,29
A,v2,18
A,v4,24
A,v6,19
A,v10,20
A,v7,20
A,v9,31
B,v2,28
A,v8,20
B,v3,35
B,v6,24
B,v5,39
B,v7,19
B,v4,29
B,v9,32
B,v10,14
B,v1,21
C,v2,55
C,v1,38
B,v8,28
C,v3,80
C,v6,23
C,v4,21
C,v7,23
C,v9,34
C,v10,20
D,v1,23
C,v5,62
C,v8,19
D,v2,23
D,v4,24
D,v6,23
D,v7,18
D,v3,40
D,v5,21
D,v10,39
E,v1,39
D,v9,25
D,v8,39
E,v4,38
E,v5,22
E,v2,36
E,v7,24
E,v3,35
E,v9,18
E,v10,17
F,v1,56
F,v2,23
E,v6,28
F,v4,42
F,v5,47
E,v8,29
F,v6,21
F,v8,43
F,v3,24
F,v10,26
F,v9,27
F,v7,41
G,v3,38
G,v4,43
G,v2,38
G,v5,29
G,v6,66
G,v8,22
G,v9,28
G,v10,28
G,v7,37
H,v2,40
H,v3,20
H,v1,20
G,v1,31
H,v5,21
H,v4,28
H,v8,21
H,v9,52
H,v10,34
H,v7,33
H,v6,41
I,v3,21
I,v4,34
I,v1,24
I,v5,30
I,v7,20
I,v8,10
I,v6,21
I,v10,16
I,v9,29
I,v2,43
J,v2,13
J,v1,47
J,v6,30
J,v4,20
J,v3,23
J,v7,33
J,v9,23
J,v5,32
K,v1,36
J,v10,19
K,v2,30
K,v4,23
J,v8,34
K,v6,19
K,v5,22
K,v7,28
K,v8,40
K,v3,26
K,v10,31
L,v1,24
L,v2,39
L,v4,36
L,v3,18
L,v6,28
K,v9,64
L,v8,26
L,v5,16
L,v10,18
L,v7,23
L,v9,40
M,v2,36
M,v4,19
M,v5,18
M,v1,27
M,v3,21
M,v6,31
M,v7,
