group,variable,value
A,v1,0
A,v3,3
A,v2,0
A,v4,2
A,v5,1
A,v6,0
A,v8,0
A,v10,0
B,v1,0
A,v7,3
B,v3,1
A,v9,1
B,v2,1
B,v6,0
B,v7,1
B,v4,0
B,v9,1
B,v10,1
C,v1,1
B,v8,1
B,v5,0
C,v4,2
C,v3,0
C,v5,2
C,v7,0
C,v8,3
C,v9,0
C,v10,0
C,v6,0
D,v1,0
D,v3,0
D,v2,0
D,v4,0
D,v6,2
D,v7,2
D,v5,2
D,v8,1
D,v10,5
C,v2,0
E,v2,2
E,v3,0
E,v1,1
E,v4,3
E,v6,0
E,v7,2
E,v8,0
E,v5,1
E,v10,1
D,v9,0
F,v2,2
F,v3,2
F,v1,1
F,v4,2
F,v7,1
F,v6,2
E,v9,1
F,v8,0
G,v1,3
F,v5,3
F,v10,1
G,v3,1
F,v9,1
G,v4,2
G,v2,0
G,v6,1
G,v8,0
G,v9,0
G,v10,0
G,v7,1
H,v2,1
H,v3,0
G,v5,0
H,v4,1
H,v1,0
H,v7,1
H,v5,0
H,v8,0
H,v6,2
H,v10,1
I,v1,3
I,v3,0
I,v2,1
H,v9,2
I,v5,0
I,v4,3
I,v7,0
I,v6,1
I,v8,0
I,v10,1
I,v9,2
J,v3,0
J,v1,1
J,v2,0
J,v6,0
J,v7,0
J,v5,0
J,v4,0
J,v8,0
J,v10,0
K,v2,0
J,v9,0
K,v1,1
K,v4,1
K,v3,0
K,v7,0
K,v5,0
K,v10,0
K,v6,1
K,v8,0
K,v9,0
L,v1,1
L,v2,0
L,v5,0
L,v3,0
L,v4,1
L,v8,1
L,v7,0
L,v10,2
L,v9,0
L,v6,1
M,v1,0
M,v2,0
M,v3,
