group,variable,value
A,v1,18
A,v2,27
A,v3,48
A,v4,22
A,v5,26
A,v7,28
A,v9,17
A,v6,32
A,v10,36
B,v2,27
B,v1,27
B,v3,34
B,v5,39
B,v6,22
A,v8,27
B,v4,35
B,v9,22
B,v7,21
B,v10,19
C,v2,23
C,v3,29
B,v8,38
C,v4,21
C,v6,25
C,v7,30
C,v8,28
C,v9,46
C,v10,26
D,v1,52
D,v2,78
D,v3,33
D,v4,16
D,v5,28
C,v1,18
C,v5,28
D,v6,25
D,v9,41
D,v10,33
D,v7,25
E,v1,29
E,v3,33
E,v2,37
E,v4,46
D,v8,22
E,v5,25
E,v6,39
E,v8,29
E,v9,24
E,v10,24
E,v7,24
F,v2,27
F,v1,21
F,v5,30
F,v6,36
F,v3,32
F,v7,31
F,v8,34
F,v9,32
F,v10,28
G,v2,41
G,v1,28
G,v3,20
F,v4,21
G,v5,28
G,v6,84
G,v7,28
G,v8,50
G,v10,16
G,v9,39
H,v1,29
H,v3,17
H,v4,25
H,v5,26
H,v6,52
H,v2,78
G,v4,20
H,v8,47
H,v10,52
H,v9,25
I,v2,56
I,v1,39
I,v4,21
H,v7,52
I,v6,22
I,v5,37
I,v9,24
I,v10,39
I,v7,23
I,v3,29
I,v8,28
J,v1,29
J,v3,34
J,v2,43
J,v5,28
J,v4,32
J,v6,
