group,variable,value
A,v1,1
A,v3,3
A,v2,7
A,v4,0
A,v5,4
A,v6,2
A,v7,6
A,v8,10
B,v1,1
A,v10,1
A,v9,1
B,v3,3
B,v2,1
B,v5,0
B,v7,0
B,v8,0
B,v6,2
B,v10,0
C,v1,1
B,v9,0
C,v3,1
C,v4,3
B,v4,1
C,v5,1
C,v7,2
C,v2,0
C,v8,0
C,v10,1
D,v1,0
D,v2,0
D,v3,1
C,v6,1
D,v4,4
D,v6,5
D,v5,6
D,v8,0
D,v9,2
D,v10,0
E,v1,1
C,v9,2
E,v2,0
E,v4,0
E,v5,0
D,v7,0
E,v3,0
E,v8,1
E,v9,1
E,v10,1
E,v6,0
F,v2,0
F,v4,1
F,v3,0
E,v7,1
F,v5,0
F,v7,0
F,v8,2
F,v9,0
F,v10,2
G,v1,0
G,v2,1
F,v1,7
G,v5,1
G,v4,0
G,v6,0
G,v3,0
F,v6,5
G,v7,1
G,v10,0
G,v9,1
H,v2,2
G,v8,1
H,v1,3
H,v5,2
H,v7,0
H,v4,1
H,v3,0
H,v6,0
I,v1,1
H,v10,1
H,v8,2
H,v9,0
I,v2,0
I,v3,4
I,v6,1
I,v4,2
I,v8,4
I,v9,2
I,v7,1
J,v1,3
I,v10,2
J,v2,2
J,v3,1
J,v4,0
J,v7,4
J,v6,5
J,v5,0
I,v5,2
J,v9,0
J,v10,1
J,v8,0
K,v2,1
K,v1,0
K,v5,4
K,v3,4
K,v6,2
K,v4,2
K,v8,0
K,v10,1
K,v7,3
L,v1,1
K,v9,1
L,v4,1
L,v5,1
L,v3,0
L,v2,1
L,v7,0
L,v6,0
L,v9,0
L,v10,1
M,v1,0
M,v2,0
M,v4,0
M,v5,2
L,v8,2
M,v3,0
M,v8,2
M,v7,1
M,v9,0
M,v10,1
N,v2,0
N,v3,1
M,v6,1
N,v4,1
N,v1,0
N,v5,1
N,v6,0
N,v7,
