group,variable,value
32
A,v4,34
A,v7,34
A,v6,19
A,v5,36
A,v8,29
A,v10,59
B,v2,20
A,v9,31
B,v5,32
B,v4,29
B,v3,24
B,v6,28
B,v9,39
B,v1,78
B,v10,21
B,v8,37
B,v7,18
C,v3,48
C,v4,44
C,v1,36
C,v6,21
C,v2,31
C,v5,41
C,v8,43
C,v10,43
D,v2,86
D,v3,39
D,v1,100
D,v4,65
D,v6,32
C,v9,30
D,v7,26
D,v8,40
D,v10,22
D,v5,46
C,v7,24
E,v1,46
E,v2,20
E,v4,69
E,v6,31
E,v5,20
E,v7,31
E,v3,41
F,v1,26
E,v10,36
F,v2,38
F,v3,24
F,v4,24
E,v9,23
E,v8,20
F,v6,29
D,v9,51
F,v5,18
F,v8,21
F,v10,31
G,v1,31
F,v7,34
G,v2,31
G,v4,22
G,v5,28
G,v6,19
F,v9,42
G,v8,18
G,v9,20
G,v10,37
H,v1,38
H,v2,23
H,v3,78
G,v3,21
H,v4,39
H,v6,36
H,v7,46
H,v8,46
H,v9,79
H,v10,64
I,v1,27
H,v5,45
I,v2,46
I,v4,38
I,v5,19
G,v7,53
I,v6,23
I,v7,32
I,v9,30
I,v3,31
J,v1,22
J,v2,27
I,v8,30
J,v3,30
I,v10,41
J,v5,30
J,v4,30
J,v8,65
J,v6,26
J,v7,22
J,v10,30
K,v2,31
K,v1,30
K,v3,37
J,v9,18
K,v5,24
K,v6,17
K,v4,26
K,v8,16
K,v7,25
K,v9,
