group,variable,value
A,v3,0
A,v1,0
A,v2,5
A,v5,2
A,v6,0
A,v8,0
A,v9,1
A,v10,0
A,v4,0
B,v2,1
A,v7,4
B,v3,0
B,v5,0
B,v4,0
B,v7,0
B,v8,0
B,v6,3
B,v1,2
B,v10,0
B,v9,1
C,v2,1
C,v4,2
C,v1,0
C,v6,5
C,v8,1
C,v9,1
C,v5,2
C,v10,2
C,v7,1
D,v2,0
C,v3,0
D,v4,3
D,v5,1
D,v6,0
D,v3,3
D,v8,0
D,v9,0
D,v10,2
E,v1,1
E,v2,2
D,v1,4
E,v3,0
E,v5,1
E,v6,0
E,v4,0
E,v7,0
D,v7,1
E,v10,7
F,v1,7
F,v2,0
F,v4,1
E,v9,1
F,v5,2
E,v8,1
F,v8,7
F,v7,1
F,v6,1
F,v9,4
F,v10,4
G,v2,1
G,v3,0
F,v3,5
G,v4,1
G,v5,1
G,v6,4
G,v1,1
G,v8,2
G,v10,2
G,v9,3
G,v7,0
H,v3,2
H,v5,0
H,v2,3
H,v1,1
H,v7,2
H,v4,0
H,v6,0
H,v10,0
I,v1,3
H,v9,0
I,v3,4
I,v2,2
H,v8,2
I,v5,1
I,v4,2
I,v6,4
I,v10,3
I,v9,0
I,v7,1
J,v1,6
J,v3,1
J,v2,1
J,v5,10
J,v4,0
J,v8,10
J,v7,3
J,v9,5
J,v10,5
J,v6,6
I,v8,0
K,v1,6
K,v4,7
K,v5,2
K,v2,1
K,v6,5
K,v7,1
K,v9,3
K,v8,2
K,v10,2
L,v1,2
K,v3,5
L,v4,0
L,v2,3
L,v3,2
L,v5,1
L,v8,0
L,v7,1
L,v9,5
L,v6,1
L,v10,1
M,v1,1
M,v3,0
M,v2,0
M,v4,
