group,variable,value
A,v1,27
A,v2,21
A,v3,24
A,v4,21
A,v7,39
A,v5,30
A,v6,38
A,v10,23
B,v1,19
B,v2,22
B,v3,36
A,v8,27
B,v5,21
B,v6,27
A,v9,18
B,v4,27
B,v9,26
B,v7,31
B,v10,17
B,v8,31
C,v1,29
C,v3,33
C,v2,24
C,v6,40
C,v7,38
C,v8,25
C,v4,25
C,v10,53
D,v1,26
C,v9,20
D,v3,39
D,v4,32
D,v2,17
D,v5,54
D,v7,20
D,v8,29
D,v6,24
D,v10,54
D,v9,30
E,v2,24
E,v4,26
E,v1,22
E,v6,34
C,v5,28
E,v7,16
E,v5,31
E,v9,33
E,v10,53
E,v8,16
F,v2,18
E,v3,30
F,v3,27
F,v5,18
F,v6,38
F,v1,53
F,v7,26
F,v10,20
F,v8,24
F,v9,29
G,v2,25
G,v3,21
F,v4,22
G,v5,29
G,v6,27
G,v7,28
G,v1,16
G,v8,27
G,v10,23
H,v1,27
G,v4,30
H,v3,24
H,v2,38
H,v5,32
H,v6,38
H,v7,26
H,v8,19
G,v9,33
H,v10,26
H,v4,56
I,v1,22
I,v3,21
I,v4,32
I,v2,27
H,v9,30
I,v7,22
I,v5,21
I,v8,28
I,v10,22
I,v9,33
I,v6,48
J,v2,26
J,v1,20
J,v4,31
J,v5,64
J,v7,24
J,v3,30
J,v8,23
J,v9,21
J,v10,16
K,v1,42
K,v2,22
K,v3,30
J,v6,43
K,v4,30
K,v7,29
K,v5,28
K,v6,51
K,v8,21
L,v1,22
K,v10,20
K,v9,18
L,v2,31
L,v5,27
L,v3,20
L,v6,26
L,v4,21
L,v9,34
L,v7,22
L,v10,21
M,v1,20
M,v2,24
L,v8,39
M,v5,20
M,v4,24
M,v6,18
M,v7,15
M,v8,34
M,v9,22
M,v10,24
M,v3,19
N,v3,21
N,v4,27
N,v1,18
N,v5,23
N,v2,21
N,v6,24
N,v7,
