group,variable,value
A,v1,0
A,v3,3
A,v2,6
A,v4,2
A,v7,0
A,v8,0
A,v5,0
A,v10,4
A,v6,0
B,v2,2
B,v3,1
B,v1,2
A,v9,1
B,v6,0
B,v8,1
B,v5,1
B,v4,1
B,v10,0
C,v1,0
B,v9,0
B,v7,1
C,v4,0
C,v5,2
C,v2,1
C,v7,1
C,v8,1
C,v3,0
C,v10,2
D,v1,4
D,v2,5
C,v6,1
C,v9,2
D,v5,0
D,v6,1
D,v4,8
D,v7,1
D,v9,0
D,v10,1
D,v3,3
E,v1,5
D,v8,0
E,v4,2
E,v5,3
E,v6,1
E,v2,2
E,v8,5
E,v3,3
E,v10,4
F,v1,0
E,v7,2
F,v3,1
F,v4,7
F,v5,6
F,v7,11
F,v8,4
F,v6,5
F,v9,11
F,v2,0
F,v10,1
G,v2,0
G,v3,0
G,v1,1
E,v9,0
G,v6,1
G,v4,0
G,v8,2
G,v9,3
G,v10,7
G,v5,1
H,v1,2
G,v7,0
H,v3,1
H,v2,1
H,v5,5
H,v7,0
H,v4,1
H,v6,8
H,v8,4
H,v10,1
I,v2,2
I,v3,3
I,v1,7
H,v9,0
I,v5,1
I,v4,2
I,v9,3
I,v7,1
I,v10,2
I,v8,3
I,v6,2
J,v3,5
J,v4,1
J,v2,9
J,v6,3
J,v5,3
J,v8,1
J,v7,5
J,v10,2
J,v1,2
K,v1,1
K,v2,0
K,v3,3
K,v4,0
K,v7,3
K,v5,3
J,v9,5
K,v9,6
K,v6,0
K,v10,4
L,v1,2
L,v3,1
K,v8,8
L,v2,3
L,v5,3
L,v6,3
L,v7,3
L,v4,1
L,v10,1
L,v9,4
L,v8,3
M,v1,0
M,v3,5
M,v4,2
M,v2,6
M,v5,1
M,v6,3
M,v7,2
M,v10,0
M,v9,0
M,v8,3
N,v1,
