group,variable,value
A,v3,38
A,v5,38
A,v1,36
A,v7,26
A,v6,22
A,v9,33
A,v10,26
A,v4,37
B,v2,112
B,v3,30
B,v5,25
A,v8,20
B,v1,29
B,v7,36
B,v9,43
B,v4,18
B,v10,32
C,v1,32
C,v2,30
C,v3,26
B,v6,41
C,v4,55
C,v6,30
C,v8,40
B,v8,32
C,v9,45
C,v10,38
C,v5,38
D,v2,27
D,v3,44
D,v1,38
C,v7,39
D,v5,38
D,v8,32
D,v7,41
D,v6,26
D,v10,34
D,v4,31
E,v2,42
E,v3,39
E,v1,32
E,v4,34
E,v6,41
E,v7,26
D,v9,28
E,v9,33
E,v10,33
F,v1,28
E,v8,44
F,v2,26
F,v3,31
F,v5,22
F,v4,40
F,v6,44
F,v9,26
F,v7,35
F,v10,45
G,v1,119
G,v3,38
G,v2,40
F,v8,28
E,v5,42
G,v5,57
G,v6,32
G,v8,34
G,v4,31
G,v10,40
H,v1,16
H,v2,51
H,v3,50
G,v7,43
H,v4,27
H,v6,28
H,v7,49
H,v5,60
G,v9,39
H,v10,29
I,v1,38
H,v8,40
H,v9,52
I,v4,33
I,v5,34
I,v3,38
I,v2,37
I,v8,28
I,v6,26
I,v10,48
J,v1,35
I,v9,26
I,v7,38
J,v3,42
J,v2,27
J,v6,29
J,v5,24
J,v8,20
J,v7,38
J,v10,52
J,v9,18
K,v1,49
J,v4,24
K,v2,20
K,v3,25
K,v5,32
K,v6,22
K,v4,69
K,v9,28
K,v10,34
K,v8,33
L,v1,41
L,v2,25
L,v4,31
L,v3,50
L,v6,40
K,v7,31
L,v7,19
L,v8,23
L,v9,23
L,v10,32
M,v2,32
M,v1,38
L,v5,42
M,v5,16
M,v4,20
M,v3,38
M,v6,18
M,v7,21
M,v10,17
M,v8,28
N,v1,25
M,v9,25
N,v3,30
N,v4,38
N,v5,23
N,v2,18
N,v6,21
N,v7,29
N,v8,
