group,variable,value
A,v1,2
A,v3,0
A,v2,0
A,v4,1
A,v5,1
A,v7,1
A,v6,0
A,v8,2
A,v9,0
A,v10,0
B,v1,0
B,v3,5
B,v5,0
B,v6,1
B,v7,2
B,v8,1
B,v2,4
B,v10,0
C,v1,0
C,v2,0
B,v9,0
C,v3,1
C,v5,2
C,v6,0
B,v4,3
C,v4,2
C,v9,0
C,v10,0
C,v8,2
D,v1,1
D,v3,0
D,v2,1
D,v5,1
C,v7,2
D,v6,4
D,v4,1
D,v8,2
D,v10,2
E,v1,3
D,v9,4
E,v3,2
E,v4,1
E,v2,0
D,v7,2
E,v5,0
E,v8,1
E,v6,2
E,v10,3
E,v7,3
F,v1,5
F,v3,2
E,v9,4
F,v5,1
F,v2,0
F,v7,1
F,v4,2
F,v6,1
F,v10,6
F,v9,2
F,v8,0
G,v3,0
G,v4,5
G,v5,0
G,v1,0
G,v2,2
G,v8,2
G,v6,0
G,v10,1
H,v1,0
H,v3,0
G,v7,1
H,v4,0
H,v5,0
H,v2,0
G,v9,1
H,v7,3
H,v6,0
I,v1,6
H,v10,4
H,v8,4
I,v3,1
H,v9,4
I,v5,0
I,v4,0
I,v2,2
I,v6,1
I,v8,1
I,v7,2
I,v10,1
J,v2,1
J,v3,1
I,v9,3
J,v1,1
J,v5,0
J,v6,0
J,v8,2
J,v9,1
J,v7,1
J,v10,1
J,v4,0
K,v1,2
K,v3,2
K,v4,3
K,v2,3
K,v5,2
K,v6,2
K,v8,0
K,v7,2
K,v10,0
K,v9,0
L,v1,
