group,variable,value
A,v1,24
A,v3,48
A,v2,37
A,v4,35
A,v5,33
A,v7,20
A,v6,27
A,v8,33
A,v10,25
B,v1,25
B,v2,29
B,v4,24
A,v9,16
B,v6,51
B,v3,24
B,v7,23
B,v5,22
B,v10,27
C,v1,54
C,v2,23
B,v9,18
B,v8,34
C,v5,25
C,v7,31
C,v3,46
C,v6,24
C,v9,27
C,v4,32
C,v10,40
D,v2,22
D,v3,24
D,v1,23
D,v4,24
D,v6,24
D,v7,25
D,v5,41
D,v10,56
D,v9,34
E,v1,17
E,v2,20
D,v8,27
C,v8,33
E,v4,37
E,v5,79
E,v7,19
E,v8,36
E,v10,29
E,v9,36
F,v1,26
F,v3,33
E,v3,54
F,v2,23
F,v5,22
E,v6,28
F,v4,21
F,v9,35
F,v8,20
F,v10,62
F,v6,22
G,v1,18
F,v7,47
G,v4,32
G,v2,21
G,v6,44
G,v7,23
G,v5,28
G,v3,25
H,v1,21
G,v10,22
G,v9,72
H,v2,36
G,v8,55
H,v4,35
H,v6,31
H,v7,17
H,v3,33
H,v10,35
H,v9,49
H,v5,19
I,v2,18
I,v1,30
H,v8,37
I,v3,20
I,v5,25
I,v6,28
I,v4,33
I,v8,36
I,v7,28
I,v9,27
J,v1,51
I,v10,23
J,v5,32
J,v3,26
J,v2,21
J,v7,20
J,v6,27
J,v4,33
J,v9,38
J,v10,26
K,v3,30
K,v2,27
J,v8,42
K,v4,20
K,v1,44
K,v7,25
K,v8,32
K,v9,33
K,v5,21
L,v1,29
K,v10,36
K,v6,26
L,v4,27
L,v3,16
L,v6,28
L,v2,22
L,v7,29
L,v10,37
L,v8,41
L,v5,31
M,v2,41
M,v3,36
M,v4,36
M,v1,38
L,v9,78
M,v7,24
M,v8,23
M,v6,25
M,v10,21
M,v5,38
N,v2,19
M,v9,33
N,v4,22
N,v3,27
N,v5,45
N,v7,32
N,v1,37
N,v6,50
N,v10,28
O,v1,32
O,v3,29
N,v8,36
O,v4,23
O,v5,34
O,v6,29
N,v9,39
O,v7,42
O,v2,30
O,v10,25
O,v9,23
P,v1,39
O,v8,32
P,v2,31
P,v3,33
P,v4,
