group,variable,value
A,v1,0
A,v4,0
A,v2,0
A,v3,0
A,v5,0
A,v7,1
A,v9,1
A,v6,0
A,v10,2
B,v1,2
A,v8,2
B,v4,0
B,v5,1
B,v3,0
B,v7,3
B,v6,1
B,v9,1
B,v10,4
B,v2,1
C,v1,1
B,v8,2
C,v4,6
C,v5,7
C,v7,5
C,v3,3
C,v8,6
C,v6,2
C,v10,5
D,v1,1
C,v2,8
C,v9,8
D,v2,5
D,v5,3
D,v4,6
D,v7,0
D,v8,0
D,v9,1
D,v10,1
D,v6,0
E,v1,2
E,v3,1
D,v3,5
E,v4,2
E,v5,2
E,v7,0
E,v8,3
E,v10,0
E,v9,3
E,v2,0
F,v2,1
E,v6,0
F,v3,2
F,v5,0
F,v6,1
F,v1,0
F,v7,0
F,v8,1
F,v10,1
G,v1,2
F,v4,4
F,v9,0
G,v3,2
G,v5,2
G,v2,3
G,v6,2
G,v8,2
G,v9,2
G,v10,0
G,v4,1
H,v2,1
G,v7,4
H,v3,2
H,v6,1
H,v7,1
H,v8,4
H,v1,1
H,v9,3
H,v10,9
H,v5,1
I,v1,9
I,v2,0
I,v3,0
H,v4,1
I,v4,3
I,v7,2
I,v6,0
I,v5,1
I,v10,1
I,v9,1
J,v1,4
J,v2,0
J,v4,2
I,v8,2
J,v6,5
J,v5,3
J,v8,4
J,v9,3
J,v10,3
J,v7,6
K,v1,0
K,v3,0
J,v3,1
K,v5,1
K,v2,0
K,v6,1
K,v8,4
K,v4,0
K,v10,1
L,v1,3
K,v9,1
K,v7,4
L,v3,0
L,v5,1
L,v4,2
L,v7,3
L,v8,0
L,v9,0
L,v6,0
L,v2,0
M,v2,
M,v1,0
L,v10,0
