group,variable,value
A,v1,36
A,v2,34
A,v3,16
A,v5,50
A,v7,25
A,v6,40
A,v8,18
A,v10,24
A,v9,26
B,v2,25
B,v3,24
A,v4,29
B,v1,32
B,v5,37
B,v7,27
B,v8,37
B,v4,22
B,v6,40
B,v10,22
C,v2,61
C,v1,50
C,v3,26
B,v9,36
C,v4,55
C,v8,33
C,v7,29
C,v5,29
C,v10,25
C,v6,29
C,v9,38
D,v1,22
D,v2,29
D,v5,40
D,v6,20
D,v3,28
D,v8,32
D,v7,29
D,v10,56
E,v2,36
D,v4,22
E,v1,23
E,v4,25
E,v5,118
D,v9,22
E,v7,52
E,v6,39
E,v9,27
E,v10,38
E,v3,15
F,v2,23
F,v4,50
E,v8,29
F,v5,44
F,v6,53
F,v1,29
F,v3,30
F,v7,32
F,v10,36
G,v1,27
G,v2,23
F,v9,28
G,v4,36
G,v5,41
G,v3,26
F,v8,47
G,v8,31
G,v6,56
G,v10,40
H,v1,56
G,v9,28
G,v7,28
H,v3,34
H,v2,30
H,v4,38
H,v5,40
H,v6,59
H,v9,28
H,v8,38
H,v10,24
I,v1,17
I,v3,40
H,v7,33
I,v5,39
I,v4,26
I,v6,27
I,v8,19
I,v7,25
I,v2,24
I,v10,32
I,v9,23
J,v1,
