group,variable,value
A,v2,1
A,v3,1
A,v4,4
A,v1,2
A,v6,4
A,v8,4
A,v9,3
A,v10,4
B,v1,0
A,v7,5
B,v4,0
A,v5,1
B,v5,3
B,v6,3
B,v3,1
B,v2,0
B,v9,0
B,v10,0
B,v8,0
C,v1,1
B,v7,0
C,v2,6
C,v5,0
C,v4,8
C,v3,4
C,v8,0
C,v9,0
C,v10,1
C,v6,1
D,v1,1
D,v3,4
D,v4,0
D,v5,3
D,v2,2
C,v7,1
D,v8,0
D,v9,1
D,v10,1
D,v6,2
E,v2,0
E,v1,1
E,v3,0
E,v5,3
D,v7,2
E,v4,0
E,v7,5
E,v9,1
E,v10,3
F,v1,2
F,v2,2
E,v8,0
E,v6,9
F,v5,1
F,v6,1
F,v7,3
F,v4,1
F,v3,2
F,v10,7
G,v1,1
F,v8,3
F,v9,4
G,v2,0
G,v5,7
G,v6,2
G,v7,2
G,v4,0
G,v3,1
G,v10,1
G,v8,3
G,v9,2
H,v3,7
H,v1,2
H,v5,5
H,v6,1
H,v4,0
H,v7,3
H,v8,6
H,v10,3
I,v1,2
I,v2,1
H,v9,1
H,v2,0
I,v3,3
I,v5,3
I,v4,4
I,v7,4
I,v6,2
I,v10,
I,v9,8
I,v8,2
