group,variable,value
A,v1,32
A,v2,25
A,v3,28
A,v5,26
A,v7,22
A,v4,31
A,v9,24
A,v10,31
B,v1,28
B,v2,23
A,v8,42
B,v4,21
B,v3,32
A,v6,31
B,v7,19
B,v9,35
B,v5,23
B,v8,16
B,v10,25
B,v6,31
C,v2,26
C,v4,22
C,v1,31
C,v6,41
C,v7,22
C,v8,30
C,v9,32
C,v10,23
C,v3,30
C,v5,28
D,v1,52
D,v4,24
D,v5,21
D,v7,24
D,v3,23
D,v6,19
D,v2,18
D,v10,32
D,v9,24
D,v8,44
E,v3,21
E,v4,22
E,v7,25
E,v2,31
E,v1,32
E,v5,26
E,v6,46
E,v10,24
F,v1,32
E,v8,31
F,v2,31
F,v4,24
F,v5,34
F,v6,24
F,v3,62
E,v9,20
F,v10,36
G,v1,43
F,v8,27
F,v9,22
G,v3,35
G,v4,36
G,v5,40
G,v2,25
F,v7,33
G,v8,52
G,v9,30
G,v10,17
G,v6,21
H,v2,49
H,v3,17
G,v7,38
H,v5,25
H,v4,52
H,v9,26
H,v6,29
H,v8,24
H,v10,20
H,v1,34
H,v7,39
I,v2,42
I,v3,39
I,v1,22
I,v4,35
I,v8,26
I,v7,30
I,v9,24
I,v5,76
I,v10,33
I,v6,28
J,v1,27
J,v2,24
J,v5,43
J,v3,28
J,v4,22
J,v6,50
J,v7,33
J,v9,31
J,v10,36
K,v2,31
K,v1,29
J,v8,27
K,v5,55
K,v3,49
K,v4,41
K,v7,62
K,v8,40
K,v6,27
K,v9,42
K,v10,31
L,v3,14
L,v1,27
L,v4,20
L,v5,27
L,v2,19
L,v6,25
L,v8,23
L,v9,24
L,v10,20
M,v1,38
M,v2,19
L,v7,24
M,v4,30
M,v5,24
M,v6,19
M,v8,23
M,v3,23
M,v9,30
M,v10,26
M,v7,24
N,v2,43
N,v1,36
N,v4,25
N,v5,28
N,v6,25
N,v7,30
N,v8,41
N,v9,20
N,v10,19
O,v3,28
O,v1,37
O,v2,27
N,v3,35
O,v6,29
O,v7,19
O,v5,84
O,v4,33
O,v8,33
O,v10,24
P,v1,51
P,v3,34
O,v9,28
P,v4,4
P,v2,40
P,v7,42
P,v6,27
P,v8,29
P,v5,33
P,v10,37
P,v9,22
R,v1,38
R,v3,44
R,v4,27
R,v2,36
R,v7,25
R,v5,32
R,v8,27
R,v9,28
undefined,v2,38
R,v6,25
R,v10,30
undefined,v1,56
undefined,v3,
