group,variable,value
A,v1,1
A,v3,1
A,v2,3
A,v5,3
A,v4,1
A,v8,2
A,v7,2
A,v10,1
A,v9,0
B,v2,2
B,v3,4
B,v1,4
B,v5,1
B,v6,1
B,v7,1
A,v6,1
B,v10,2
B,v9,0
C,v2,0
B,v8,0
B,v4,2
C,v4,2
C,v5,1
C,v7,0
C,v1,0
C,v3,0
C,v9,1
C,v10,1
C,v6,1
D,v1,0
D,v3,0
D,v4,1
C,v8,0
D,v5,0
D,v6,0
D,v8,1
D,v7,2
D,v2,3
D,v10,0
E,v2,2
E,v3,1
E,v1,2
E,v4,2
E,v5,2
D,v9,0
E,v6,6
E,v9,1
E,v10,1
E,v7,2
E,v8,6
F,v2,6
F,v4,6
F,v1,3
F,v3,2
F,v8,6
F,v7,5
F,v9,2
F,v10,0
F,v6,2
F,v5,3
G,v3,6
G,v1,3
G,v5,3
G,v6,1
G,v4,6
G,v8,1
G,v9,4
G,v10,2
G,v2,3
H,v1,3
H,v3,2
G,v7,0
H,v5,2
H,v6,0
H,v4,0
H,v2,1
H,v7,2
H,v8,1
H,v10,3
I,v2,5
H,v9,1
I,v1,6
I,v4,3
I,v3,7
I,v5,7
I,v6,3
I,v8,
I,v7,1
