group,variable,value
A,v1,48
A,v3,30
A,v2,28
A,v4,51
A,v5,45
A,v8,38
A,v7,31
A,v10,23
B,v1,27
B,v2,23
A,v6,28
A,v9,27
B,v6,30
B,v5,49
B,v7,113
B,v3,36
B,v4,51
B,v10,18
C,v1,16
C,v2,26
C,v3,23
C,v5,78
B,v8,32
B,v9,24
C,v7,22
C,v4,26
C,v9,23
C,v10,28
C,v8,19
D,v3,16
D,v2,26
C,v6,38
D,v4,18
D,v7,31
D,v6,55
D,v5,36
D,v9,70
D,v10,23
E,v1,21
D,v1,32
E,v2,22
E,v4,23
E,v6,38
E,v3,24
D,v8,28
E,v8,14
E,v9,24
E,v7,26
F,v2,125
E,v5,22
E,v10,30
F,v1,43
F,v6,26
F,v4,39
F,v5,22
F,v8,58
F,v9,18
F,v10,28
F,v7,22
F,v3,76
G,v3,32
G,v4,33
G,v1,21
G,v2,25
G,v8,40
G,v5,28
G,v7,27
G,v10,44
G,v9,39
G,v6,28
H,v4,30
H,v3,20
H,v1,38
H,v5,31
H,v7,44
H,v8,51
H,v9,57
H,v10,37
H,v2,34
I,v2,36
I,v3,26
I,v1,28
I,v4,34
I,v5,24
I,v7,22
I,v8,28
I,v9,26
J,v1,31
I,v6,24
H,v6,38
J,v3,32
I,v10,40
J,v5,39
J,v4,22
J,v2,32
J,v6,31
J,v9,20
J,v7,52
J,v10,52
K,v2,38
K,v3,50
K,v1,24
K,v4,23
K,v5,24
K,v7,32
K,v8,26
K,v9,38
J,v8,27
K,v10,37
L,v2,77
K,v6,22
L,v4,32
L,v3,31
L,v5,25
L,v6,74
L,v8,28
L,v1,51
L,v10,25
L,v7,25
M,v1,40
M,v3,26
M,v4,30
M,v5,45
M,v2,40
L,v9,33
M,v8,35
M,v6,29
M,v10,68
M,v9,33
M,v7,27
N,v3,56
N,v1,21
N,v4,34
N,v2,29
N,v6,46
N,v8,37
N,v7,61
N,v10,36
N,v9,66
O,v1,41
O,v2,27
O,v3,37
N,v5,31
O,v4,28
O,v5,92
O,v6,
