group,variable,value
A,v3,2
A,v5,0
A,v6,0
A,v1,3
A,v7,3
A,v9,2
A,v10,1
A,v4,2
B,v2,3
B,v3,1
A,v8,6
B,v1,0
B,v5,0
B,v7,0
B,v8,0
B,v9,0
B,v10,0
C,v1,0
B,v6,0
C,v3,2
B,v4,3
C,v4,8
C,v2,1
C,v6,2
C,v8,0
C,v7,2
C,v10,1
D,v1,0
C,v9,2
D,v2,2
D,v3,3
D,v5,0
C,v5,2
D,v4,2
D,v9,0
D,v8,0
D,v10,0
D,v7,3
E,v1,0
E,v2,0
E,v3,0
D,v6,1
E,v4,0
E,v5,0
E,v6,0
E,v8,4
E,v10,2
F,v1,4
E,v9,0
F,v2,0
F,v4,4
F,v5,3
E,v7,0
F,v3,5
F,v7,1
F,v9,2
F,v10,3
F,v6,3
G,v1,1
G,v2,1
G,v4,2
F,v8,0
G,v3,0
G,v7,0
G,v9,0
G,v6,0
G,v8,0
H,v1,0
G,v10,0
H,v3,2
H,v4,1
H,v2,0
G,v5,1
H,v8,0
H,v7,1
H,v9,5
H,v10,0
I,v1,1
H,v5,1
H,v6,1
I,v3,0
I,v2,0
I,v4,0
I,v6,1
I,v5,0
I,v9,0
I,v7,3
I,v10,1
J,v2,0
I,v8,2
J,v4,1
J,v3,0
J,v1,0
J,v5,4
J,v6,4
J,v7,1
J,v8,
