group,variable,value
A,v2,40
A,v1,76
A,v3,33
A,v4,40
A,v5,39
A,v6,47
A,v7,53
A,v8,58
A,v10,27
A,v9,54
B,v4,28
B,v1,25
B,v6,28
B,v2,57
B,v3,49
B,v7,26
B,v9,30
B,v5,27
B,v10,25
C,v1,34
C,v3,27
B,v8,27
C,v5,39
C,v7,31
C,v8,49
C,v6,25
C,v2,23
D,v1,19
D,v2,76
C,v10,37
D,v3,32
C,v9,28
C,v4,37
D,v7,21
D,v4,32
D,v5,28
D,v8,30
D,v10,51
D,v9,28
E,v1,20
E,v3,27
D,v6,26
E,v4,58
E,v6,37
E,v7,36
E,v9,70
E,v8,25
F,v1,40
E,v10,23
E,v5,33
F,v3,23
E,v2,28
F,v2,33
F,v6,27
F,v8,24
F,v5,30
F,v4,27
F,v10,27
G,v1,53
F,v9,41
G,v2,27
G,v4,42
G,v5,27
G,v6,62
G,v8,23
G,v7,40
G,v3,32
G,v10,37
F,v7,29
H,v2,32
H,v3,31
G,v9,28
H,v4,37
H,v7,38
H,v5,16
H,v8,28
H,v6,29
H,v10,31
H,v9,30
I,v3,28
I,v4,70
H,v1,34
I,v2,45
I,v6,58
I,v5,50
I,v7,35
I,v9,27
I,v10,38
I,v8,44
I,v1,46
J,v2,38
J,v1,27
J,v4,32
J,v6,32
J,v3,31
J,v7,45
J,v8,27
J,v9,30
J,v10,78
K,v1,26
K,v2,48
K,v3,25
K,v4,24
J,v5,35
K,v5,65
K,v6,76
K,v7,21
K,v8,22
K,v10,48
K,v9,30
L,v2,30
L,v3,32
L,v1,39
L,v6,26
L,v5,34
L,v7,87
L,v4,25
L,v9,27
L,v10,69
M,v1,33
M,v2,40
M,v4,29
L,v8,36
M,v3,38
M,v6,27
M,v5,39
M,v8,31
M,v9,23
M,v10,30
N,v2,26
N,v3,74
M,v7,52
N,v4,37
N,v1,32
N,v8,31
N,v6,40
N,v5,36
N,v9,38
N,v10,24
N,v7,26
O,v1,25
O,v4,52
O,v3,12
O,v6,32
O,v5,31
O,v8,37
O,v7,31
O,v9,32
O,v10,29
P,v1,23
O,v2,39
P,v4,29
P,v3,27
P,v2,59
P,v5,31
P,v6,26
P,v7,28
P,v9,37
P,v10,20
R,v1,26
R,v3,53
P,v8,40
R,v4,27
R,v2,48
R,v5,60
R,v6,33
R,v8,24
R,v10,33
R,v7,28
undefined,v1,26
undefined,v2,26
undefined,v5,31
R,v9,42
undefined,v4,64
undefined,v3,74
undefined,v6,31
undefined,v9,38
undefined,v8,24
undefined,v7,30
undefined,v10,23
undefined,v1,29
undefined,v2,29
undefined,v3,28
undefined,v4,41
undefined,v6,46
undefined,v7,
undefined,v5,50
