group,variable,value
A,v1,1
A,v2,0
A,v6,0
A,v5,0
A,v4,0
A,v8,0
A,v9,1
A,v10,2
B,v1,0
B,v2,1
B,v4,0
A,v7,2
B,v3,1
A,v3,0
B,v8,6
B,v5,2
B,v7,5
B,v10,0
B,v9,0
C,v1,1
C,v4,2
B,v6,5
C,v2,4
C,v5,1
C,v3,2
C,v6,3
C,v9,6
C,v10,1
C,v8,4
D,v1,2
C,v7,3
D,v4,1
D,v2,0
D,v6,0
D,v7,0
D,v5,1
D,v3,0
D,v9,0
D,v10,0
E,v2,0
E,v1,0
E,v4,5
D,v8,0
E,v6,4
E,v7,3
E,v5,2
E,v3,1
E,v8,3
E,v10,5
F,v2,0
F,v1,0
F,v3,0
F,v4,0
F,v7,0
F,v6,2
F,v8,0
E,v9,1
F,v10,1
G,v1,1
F,v5,0
F,v9,1
G,v4,1
G,v3,0
G,v5,5
G,v7,3
G,v2,0
G,v6,3
G,v10,1
H,v1,0
G,v8,0
H,v2,2
G,v9,0
H,v5,1
H,v6,1
H,v3,1
H,v7,0
H,v4,0
H,v10,5
I,v1,1
H,v9,3
I,v2,3
I,v4,3
I,v3,1
H,v8,4
I,v6,1
I,v5,1
I,v8,1
I,v10,0
I,v7,3
I,v9,0
J,v2,1
J,v4,3
J,v3,2
J,v5,2
J,v1,1
J,v7,4
J,v6,3
J,v9,2
J,v10,1
K,v2,2
J,v8,0
K,v3,1
K,v1,5
K,v5,11
K,v4,4
K,v8,0
K,v6,8
K,v9,0
K,v10,3
L,v1,2
L,v2,1
K,v7,0
L,v5,1
L,v3,3
L,v6,0
L,v4,3
L,v7,4
L,v10,1
L,v9,3
L,v8,4
M,v2,6
M,v3,2
M,v1,2
M,v4,1
M,v7,1
M,v5,6
M,v10,3
M,v8,0
M,v6,2
M,v9,1
N,v1,0
N,v3,2
N,v2,2
N,v4,3
N,v6,2
N,v7,1
N,v5,3
N,v9,10
N,v10,3
N,v8,2
O,v2,6
O,v1,1
O,v4,6
O,v3,3
O,v6,0
O,v5,2
O,v7,0
O,v9,0
O,v10,0
O,v8,0
P,v2,0
P,v1,1
P,v4,0
P,v3,3
P,v5,0
P,v7,1
P,v8,1
P,v9,0
P,v10,2
R,v1,0
R,v2,1
P,v6,1
R,v3,0
R,v4,5
R,v6,0
R,v7,2
R,v5,1
R,v8,3
R,v10,0
undefined,v1,8
R,v9,0
undefined,v2,4
undefined,v4,5
undefined,v6,7
undefined,v3,7
undefined,v7,0
undefined,v5,7
undefined,v10,0
undefined,v8,1
undefined,v1,1
undefined,v2,1
undefined,v4,0
undefined,v3,1
undefined,v5,0
undefined,v9,1
undefined,v6,1
undefined,v7,
